movieId,title,genre,rating_avg,year
1,Toy Story,"[""Adventure"", ""Animation"", ""Children"", ""Comedy"", ""Fantasy""]",3.9,1995
2,Jumanji,"[""Adventure"", ""Children"", ""Fantasy""]",3.2,1995
3,Grumpier Old Men,"[""Comedy"", ""Romance""]",3.2,1995
4,Waiting to Exhale,"[""Comedy"", ""Drama"", ""Romance""]",2.9,1995
5,Father of the Bride Part II,"[""Comedy""]",3.1,1995
6,Heat,"[""Action"", ""Crime"", ""Thriller""]",3.8,1995
7,Sabrina,"[""Comedy"", ""Romance""]",3.4,1995
8,Tom and Huck,"[""Adventure"", ""Children""]",3.1,1995
9,Sudden Death,"[""Action""]",3.0,1995
10,GoldenEye,"[""Action"", ""Adventure"", ""Thriller""]",3.4,1995
11,"American President, The","[""Comedy"", ""Drama"", ""Romance""]",3.7,1995
12,Dracula: Dead and Loving It,"[""Comedy"", ""Horror""]",2.6,1995
13,Balto,"[""Adventure"", ""Animation"", ""Children""]",3.3,1995
14,Nixon,"[""Drama""]",3.4,1995
15,Cutthroat Island,"[""Action"", ""Adventure"", ""Romance""]",2.7,1995
16,Casino,"[""Crime"", ""Drama""]",3.8,1995
17,Sense and Sensibility,"[""Drama"", ""Romance""]",4.0,1995
18,Four Rooms,"[""Comedy""]",3.4,1995
19,Ace Ventura: When Nature Calls,"[""Comedy""]",2.6,1995
20,Money Train,"[""Action"", ""Comedy"", ""Crime"", ""Drama"", ""Thriller""]",2.9,1995
21,Get Shorty,"[""Comedy"", ""Crime"", ""Thriller""]",3.6,1995
22,Copycat,"[""Crime"", ""Drama"", ""Horror"", ""Mystery"", ""Thriller""]",3.3,1995
23,Assassins,"[""Action"", ""Crime"", ""Thriller""]",3.1,1995
24,Powder,"[""Drama"", ""Sci-Fi""]",3.2,1995
25,Leaving Las Vegas,"[""Drama"", ""Romance""]",3.7,1995
26,Othello,"[""Drama""]",3.6,1995
27,Now and Then,"[""Children"", ""Drama""]",3.4,1995
28,Persuasion,"[""Drama"", ""Romance""]",4.1,1995
29,"City of Lost Children, The  (1995)","[""Adventure"", ""Drama"", ""Fantasy"", ""Mystery"", ""Sci-Fi""]",4.0,1995
30,Shanghai Triad  (1995),"[""Crime"", ""Drama""]",3.6,1995
31,Dangerous Minds,"[""Drama""]",3.3,1995
32,Twelve Monkeys  (1995),"[""Mystery"", ""Sci-Fi"", ""Thriller""]",3.9,1995
33,Wings of Courage,"[""Adventure"", ""Romance"", ""IMAX""]",3.0,1995
34,Babe,"[""Children"", ""Drama""]",3.6,1995
35,Carrington,"[""Drama"", ""Romance""]",3.5,1995
36,Dead Man Walking,"[""Crime"", ""Drama""]",3.9,1995
37,Across the Sea of Time,"[""Documentary"", ""IMAX""]",3.0,1995
38,It Takes Two,"[""Children"", ""Comedy""]",2.9,1995
39,Clueless,"[""Comedy"", ""Romance""]",3.4,1995
40,"Cry, the Beloved Country","[""Drama""]",3.6,1995
41,Richard III,"[""Drama"", ""War""]",3.9,1995
42,Dead Presidents,"[""Action"", ""Crime"", ""Drama""]",3.1,1995
43,Restoration,"[""Drama""]",3.5,1995
44,Mortal Kombat,"[""Action"", ""Adventure"", ""Fantasy""]",2.7,1995
45,To Die For,"[""Comedy"", ""Drama"", ""Thriller""]",3.4,1995
46,How to Make an American Quilt,"[""Drama"", ""Romance""]",3.3,1995
47,Seven  (1995),"[""Mystery"", ""Thriller""]",4.1,1995
48,Pocahontas,"[""Animation"", ""Children"", ""Drama"", ""Musical"", ""Romance""]",2.9,1995
49,When Night Is Falling,"[""Drama"", ""Romance""]",3.6,1995
50,"Usual Suspects, The","[""Crime"", ""Mystery"", ""Thriller""]",4.3,1995
51,Guardian Angel,"[""Action"", ""Drama"", ""Thriller""]",2.6,1994
52,Mighty Aphrodite,"[""Comedy"", ""Drama"", ""Romance""]",3.5,1995
53,Lamerica,"[""Adventure"", ""Drama""]",3.7,1994
54,"Big Green, The","[""Children"", ""Comedy""]",2.9,1995
55,Georgia,"[""Drama""]",3.2,1995
56,Kids of the Round Table,"[""Adventure"", ""Children"", ""Fantasy""]",1.9,1995
57,Home for the Holidays,"[""Drama""]",3.3,1995
58,"Postman, The  (1994)","[""Comedy"", ""Drama"", ""Romance""]",4.0,1994
59,"Confessional, The  (1995)","[""Drama"", ""Mystery""]",3.6,1995
60,"Indian in the Cupboard, The","[""Adventure"", ""Children"", ""Fantasy""]",3.1,1995
61,Eye for an Eye,"[""Drama"", ""Thriller""]",3.3,1996
62,Mr. Holland's Opus,"[""Drama""]",3.7,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"[""Comedy"", ""Crime""]",3.1,1996
64,Two if by Sea,"[""Comedy"", ""Romance""]",2.8,1996
65,Bio-Dome,"[""Comedy""]",2.4,1996
66,Lawnmower Man 2: Beyond Cyberspace,"[""Action"", ""Sci-Fi"", ""Thriller""]",2.1,1996
67,Two Bits,"[""Drama""]",3.4,1995
68,French Twist  (1995),"[""Comedy"", ""Romance""]",3.4,1995
69,Friday,"[""Comedy""]",3.6,1995
70,From Dusk Till Dawn,"[""Action"", ""Comedy"", ""Horror"", ""Thriller""]",3.3,1996
71,Fair Game,"[""Action""]",2.4,1995
72,Kicking and Screaming,"[""Comedy"", ""Drama""]",3.5,1995
73,"Misérables, Les","[""Drama"", ""War""]",3.8,1995
74,Bed of Roses,"[""Drama"", ""Romance""]",3.3,1996
75,Big Bully,"[""Comedy"", ""Drama""]",2.5,1996
76,Screamers,"[""Action"", ""Sci-Fi"", ""Thriller""]",3.0,1995
77,Nico Icon,"[""Documentary""]",3.4,1995
78,"Crossing Guard, The","[""Action"", ""Crime"", ""Drama"", ""Thriller""]",3.2,1995
79,"Juror, The","[""Drama"", ""Thriller""]",3.1,1996
80,"White Balloon, The  (1995)","[""Children"", ""Drama""]",3.7,1995
81,Things to Do in Denver When You're Dead,"[""Crime"", ""Drama"", ""Romance""]",3.3,1995
82,Antonia's Line  (1995),"[""Comedy"", ""Drama""]",4.0,1995
83,Once Upon a Time... When We Were Colored,"[""Drama"", ""Romance""]",3.7,1995
84,Last Summer in the Hamptons,"[""Comedy"", ""Drama""]",3.4,1995
85,Angels and Insects,"[""Drama"", ""Romance""]",3.5,1995
86,White Squall,"[""Action"", ""Adventure"", ""Drama""]",3.5,1996
87,Dunston Checks In,"[""Children"", ""Comedy""]",2.4,1996
88,Black Sheep,"[""Comedy""]",3.1,1996
89,Nick of Time,"[""Action"", ""Thriller""]",3.1,1995
90,"Journey of August King, The","[""Drama""]",3.4,1995
92,Mary Reilly,"[""Drama"", ""Horror"", ""Thriller""]",2.9,1996
93,Vampire in Brooklyn,"[""Comedy"", ""Horror"", ""Romance""]",2.5,1995
94,Beautiful Girls,"[""Comedy"", ""Drama"", ""Romance""]",3.5,1996
95,Broken Arrow,"[""Action"", ""Adventure"", ""Thriller""]",3.1,1996
96,In the Bleak Midwinter,"[""Comedy"", ""Drama""]",3.7,1995
97,Hate  (1995),"[""Crime"", ""Drama""]",4.0,1995
98,Shopping,"[""Action"", ""Thriller""]",2.5,1994
99,Heidi Fleiss: Hollywood Madam,"[""Documentary""]",3.1,1995
100,City Hall,"[""Drama"", ""Thriller""]",3.2,1996
101,Bottle Rocket,"[""Adventure"", ""Comedy"", ""Crime"", ""Romance""]",3.8,1996
102,Mr. Wrong,"[""Comedy""]",2.4,1996
103,Unforgettable,"[""Mystery"", ""Sci-Fi"", ""Thriller""]",3.3,1996
104,Happy Gilmore,"[""Comedy""]",3.4,1996
105,"Bridges of Madison County, The","[""Drama"", ""Romance""]",3.3,1995
106,Nobody Loves Me  (1994),"[""Comedy"", ""Drama""]",3.4,1994
107,Muppet Treasure Island,"[""Adventure"", ""Children"", ""Comedy"", ""Musical""]",3.2,1996
108,Catwalk,"[""Documentary""]",3.1,1996
109,Headless Body in Topless Bar,"[""Comedy"", ""Drama"", ""Thriller""]",2.1,1995
110,Braveheart,"[""Action"", ""Drama"", ""War""]",4.0,1995
111,Taxi Driver,"[""Crime"", ""Drama"", ""Thriller""]",4.1,1976
112,Rumble in the Bronx  (1995),"[""Action"", ""Adventure"", ""Comedy"", ""Crime""]",3.4,1995
113,Before and After,"[""Drama"", ""Mystery""]",3.1,1996
114,Margaret's Museum,"[""Drama""]",3.6,1995
115,Happiness Is in the Field  (1995),"[""Comedy""]",3.4,1995
116,Anne Frank Remembered,"[""Documentary""]",3.9,1995
117,"Young Poisoner's Handbook, The","[""Crime"", ""Drama""]",3.6,1995
118,If Lucy Fell,"[""Comedy"", ""Romance""]",3.0,1996
119,"Steal Big, Steal Little","[""Comedy""]",2.8,1995
120,Race the Sun,"[""Adventure"", ""Comedy"", ""Drama""]",2.9,1996
121,"Boys of St. Vincent, The","[""Drama""]",3.8,1992
122,Boomerang,"[""Comedy"", ""Romance""]",2.9,1992
123,Chungking Express  (1994),"[""Drama"", ""Mystery"", ""Romance""]",4.0,1994
124,"Star Maker, The  (1995)","[""Drama""]",3.5,1995
125,Flirting With Disaster,"[""Comedy""]",3.8,1996
126,"NeverEnding Story III, The","[""Adventure"", ""Children"", ""Fantasy""]",2.3,1994
127,"Silences of the Palace, The  (1994)","[""Drama""]",3.3,1994
128,Jupiter's Wife,"[""Documentary""]",3.5,1994
129,Pie in the Sky,"[""Comedy"", ""Romance""]",3.2,1996
130,Angela,"[""Drama""]",3.1,1995
131,Frankie Starlight,"[""Drama"", ""Romance""]",3.3,1995
132,Jade,"[""Thriller""]",2.8,1995
133,Nueba Yol,"[""Comedy"", ""Drama""]",2.6,1995
134,Sonic Outlaws,"[""Documentary""]",3.7,1995
135,Down Periscope,"[""Comedy""]",3.0,1996
136,From the Journals of Jean Seberg,"[""Documentary""]",3.5,1995
137,Man of the Year,"[""Documentary""]",3.3,1995
138,"Neon Bible, The","[""Drama""]",3.3,1995
139,Target,"[""Action"", ""Drama""]",3.1,1995
